cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28.0
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0
387.0,20.0,94.0,157.0,11.61,938.0,845.0,28.0
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28.0
516.0,0.0,0.0,162.0,8.26,801.0,802.0,28.0
252.31,0.0,98.75,146.25,14.17,987.76,889.01,3.0
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3.0
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28.0
157.0,214.0,152.0,200.0,9.0,819.0,704.0,28.0
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7.0
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90.0
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14.0
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7.0
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3.0
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100.0
424.0,22.0,132.0,168.0,8.92,822.0,750.0,3.0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28.0
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28.0
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28.0
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,3.0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28.0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56.0
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28.0
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7.0
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28.0
212.0,141.3,0.0,203.5,0.0,973.4,750.0,7.0
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91.0
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28.0
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,100.0
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28.0
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3.0
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28.0
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56.0
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28.0
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100.0
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7.0
144.8,0.0,133.6,180.8,11.1,979.5,811.5,28.0
222.36,0.0,96.67,189.29,4.46,967.08,870.32,100.0
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28.0
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28.0
108.3,162.4,0.0,203.5,0.0,938.2,849.0,7.0
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28.0
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28.0
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180.0
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90.0
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3.0
295.71,0.0,95.64,171.54,8.87,955.14,859.2,56.0
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14.0
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100.0
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90.0
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28.0
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28.0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100.0
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7.0
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180.0
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.0
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28.0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3.0
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28.0
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3.0
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56.0
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100.0
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7.0
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270.0
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,28.0
300.0,0.0,120.0,212.0,10.0,878.0,728.0,28.0
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14.0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90.0
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90.0
250.0,0.0,95.69,191.84,5.33,948.9,857.2,28.0
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3.0
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7.0
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100.0
250.0,180.0,95.0,159.0,9.45,860.0,800.0,28.0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28.0
359.0,19.0,141.0,154.0,10.91,942.0,801.0,28.0
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14.0
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3.0
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,56.0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7.0
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7.0
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7.0
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14.0
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3.0
194.68,0.0,100.52,170.17,7.48,998.0,901.8,28.0
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28.0
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,100.0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56.0
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28.0
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3.0
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28.0
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28.0
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56.0
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14.0
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91.0
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28.0
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28.0
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28.0
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28.0
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,56.0
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120.0
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28.0
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28.0
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3.0
250.2,166.8,0.0,203.5,0.0,977.6,694.1,28.0
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28.0
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3.0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365.0
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28.0
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100.0
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90.0
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0
143.0,169.4,142.7,190.7,8.4,967.4,643.5,28.0
314.0,145.3,113.2,178.9,8.0,869.1,690.2,28.0
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28.0
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3.0
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28.0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28.0
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3.0
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0
491.0,26.0,123.0,210.0,3.93,882.0,699.0,7.0
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28.0
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28.0
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28.0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90.0
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90.0
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100.0
295.71,0.0,95.64,171.54,8.87,955.14,859.2,28.0
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56.0
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28.0
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90.0
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3.0
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180.0
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28.0
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7.0
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,3.0
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28.0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100.0
233.81,0.0,94.58,197.89,4.567,947.04,852.16,56.0
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7.0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14.0
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28.0
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56.0
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14.0
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28.0
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28.0
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14.0
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14.0
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28.0
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3.0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100.0
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28.0
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,14.0
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7.0
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7.0
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28.0
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28.0
446.0,24.0,79.0,162.0,11.64,967.0,712.0,28.0
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56.0
203.5,305.3,0.0,203.5,0.0,963.4,630.0,28.0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28.0
202.0,11.0,141.0,206.0,1.72,942.0,801.0,56.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14.0
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28.0
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56.0
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28.0
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3.0
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28.0
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56.0
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28.0
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,100.0
387.0,20.0,94.0,157.0,14.32,938.0,845.0,7.0
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3.0
446.0,24.0,79.0,162.0,11.61,967.0,712.0,3.0
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28.0
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28.0
238.05,0.0,94.11,186.66,7.0,949.91,847.01,28.0
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14.0
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3.0
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3.0
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28.0
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28.0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28.0
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90.0
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28.0
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7.0
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3.0
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,28.0
528.0,0.0,0.0,185.0,6.86,920.0,720.0,28.0
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3.0
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100.0
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28.0
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28.0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3.0
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100.0
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3.0
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7.0
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7.0
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14.0
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100.0
387.0,20.0,94.0,157.0,14.32,938.0,845.0,56.0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28.0
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28.0
387.0,20.0,94.0,157.0,11.61,938.0,845.0,7.0
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28.0
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3.0
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28.0
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7.0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,14.0
424.0,22.0,132.0,178.0,8.48,822.0,750.0,56.0
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7.0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28.0
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14.0
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100.0
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180.0
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,100.0
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3.0
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180.0
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3.0
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28.0
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100.0
