Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14,29.7508894
289,0,0,192,0,913.2,895.3,28,25.573354316
349,0,0,192,0,1056,809,3,15.87173752
186.2,124.1,0,185.7,0,1083.4,764.3,7,7.995853172
,81.0315758097248,,153.423860633602,6.54547525708493,1079.50585963564,810.732258775294,22.2805989878551,58.5612209874206
277,0,0,191,0,968,856,360,33.70158688
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.215586252
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.419591196
435.754986522077,,,157.843505371968,0,963.416876732743,863.506280133318,28,57.5418837347657
162,207,172,216,10,822,638,28,39.84481804
,2.99241173654692,,208.39439081901,11.0338996180247,879.140182415555,749.599600540995,27.2295541358015,31.75803557796
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37264682
275,0,0,183,0,1088,808,28,24.49708228
439,177,0,186,11.1,884.9,707.9,56,71.69860924
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,38.60376124
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,51.72448952
246.83,0,125.08,143.3,11.99,1086.8,800.89,100,66.42411784
387,20,94,157,13.93,938,845,56,47.96684532
277,117,91,191,7,946,666,28,43.5748832
149,118,92,183,7,953,780,28,23.51802636
475,0,0,228,0,932,594,365,41.934619796
374,189.2,0,170.1,10.1,926.1,756.7,3,34.39795764
387,20,94,157,14.32,938,845,28,50.23522136
385,0,136,158,20,903,768,28,55.55108132
359,19,141,154,10.91,942,801,7,38.610656
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.762260768
374,0,0,190,7,1013,730,28,39.05192064
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.21973308
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.401235144
350,0,0,203,0,974,775,56,29.97841648
200,133,0,192,0,965.4,806.2,3,11.41427518
212,141.3,0,203.5,0,973.4,750,28,33.003837168
190,190,0,228,0,932,670,180,46.931941844
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.497622
254,0,0,198,0,968,863,3,9.307926
350,0,0,203,0,974,775,90,31.35047372
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
295.71,0,95.64,171.54,8.87,955.14,859.2,3,22.94576128
,82.0070795438893,,,7.68924238060234,985.578293196171,782.929604225666,73.9494920401559,46.052057842513
500.1,0,0,200,3,1124.4,613.2,28,44.13335876
153,102,0,192,0,888,943.1,90,26.322814728
102,153,0,192,0,887,942,7,7.675936308
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.461329424
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42357812
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
266,114,0,228,0,932,670,365,52.908319812
331,0,0,192,0,978,825,90,37.231704
255,0,0,192,0,889.8,945,7,10.222171176
233.81,0,94.58,197.89,4.567,947.04,852.16,56,27.66177712
387,20,94,157,11.61,938,845,7,41.66503468
315,137,0,145,5.9,1130,745,28,81.75116932
190.68,0,125.4,162.14,7.77,1090,804.01,3,15.04436632
307,0,0,193,0,968,812,180,34.48758952
298,137,107,201,6,878,655,28,53.52402188
167,187,195,185,7,898,636,28,23.8903434
116,173,0,192,0,909.8,891.9,90,31.023662096
190.34,0,125.18,166.61,9.88,1079,798.9,56,31.715896
140,133,103,200,7,916,753,28,36.4388066
190.34,0,125.18,166.61,9.88,1079,798.9,28,24.84871504
404.226076967196,135.294222030565,,,16.7402038466604,956.625139340537,768.010511817412,75.3777123119469,62.2542267946464
212,141.3,0,203.5,0,973.4,750,90,39.70002808
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.31534036
287,121,94,188,9,904,696,28,41.94082508
525,0,0,189,0,1125,613,90,58.78472376
146,230,0,202,3,827,872,28,33.0603742
446,24,79,162,11.64,967,712,3,23.34565736
436,0,0,218,0,838.4,719.7,28,23.84897484
397,0,0,185,0,1040,734,28,39.0932892
220.8,147.2,0,185.7,0,1055,744.3,28,25.74503384
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.306517132
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.730314988
376,0,0,214.6,0,1003.5,762.36,56,36.3009114
389.9,189,0,145.9,22,944.7,755.8,7,59.09498796
193.5,290.2,0,185.7,0,998.2,704.3,7,17.200357772
,49.1464705311039,38.5935474109282,,2.41209671318301,1072.05957782549,752.059577825488,28,58.4943511449001
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.959470848
153,145,113,178,8,1002,689,28,25.55887532
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.443632932
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.64005364
277,0,0,191,0,968,856,14,21.26343984
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.80085148
332.5,142.5,0,228,0,932,594,28,33.01900564
500,0,0,200,0,1125,613,1,12.63809508
213.5,0,174.24,154.61,11.66,1052.3,775.48,28,45.93978588
122.6,183.9,0,203.5,0,958.2,800.1,7,10.354550568
275,180,120,162,10.35,830,765,28,76.23536132
,,,,2.50522387551682,912.504716510573,767.983029915874,58.9352239435915,33.2469919932301
139.6,209.4,0,192,0,1047,806.9,180,44.207822168
155,183,0,193,9,877,868,28,23.786922
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
491,26,123,210,3.93,882,699,3,25.6091085694586
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.81086384
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,47.7117392
,,,134.090266809253,20.7199962792582,865.076257331626,971.251594292895,9.40513154425544,43.9508785548671
326,0,138,199,11,801,792,28,40.679084
167,75.4,167,164.03,7.91,1007.3,770.1,100,56.8128224
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.90127512
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.80073164
397,0,0,185.7,0,1040.6,734.3,28,33.082437432
349,0,0,192,0,1047,806,7,18.12632404
284,119.7,0,168.3,7.2,970.4,794.2,28,40.934879596
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.569747032
275.07,0,121.35,159.48,9.9,1053.6,777.5,28,51.3314882
228,342.1,0,185.7,0,955.8,674.3,7,21.917063088
359,19,141,154,10.91,942,801,7,35.7542554305414
380,95,0,228,0,932,594,7,32.823194456
310,0,0,192,0,970,850,28,27.923778
116,173,0,192,0,909.8,891.9,28,22.347985588
275,0,0,183,0,1088,808,7,14.2032056
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.922658848
469,117.2,0,137.8,32.2,852.1,840.5,3,40.1964508
255.3,98.8,77,188.6,6.5,919,749.3,28,33.798802996
198.6,132.4,0,192,0,978.4,825.5,90,38.074243672
203.5,305.3,0,203.5,0,963.4,630,90,51.863763672
194.68,0,100.52,165.62,7.48,1006.4,905.9,100,37.34202016
275.07,0,121.35,159.48,9.9,1053.6,777.5,3,23.80071152
212.07,0,121.62,180.31,5.69,1057.6,779.32,100,39.6103962
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.50475644
280,129,100,172,9,825,805,28,52.82075636
190.34,0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408
238.05,0,94.11,186.66,7,949.91,847.01,56,39.58971192
359,19,141,154,10.91,942,801,28,62.93536928
250,0,95.69,191.84,5.33,948.9,857.2,100,41.1617172
425,106.3,0,151.4,18.6,936,803.7,7,46.80163088
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
165,0.02,143.57,163.81,0,1005.6,900.9,100,37.9556538
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.455953576
525,0,0,189,0,1125,613,7,42.42345828
157,236,0,192,0,935.4,781.2,3,9.694722036
366,187,0,191.3,6.6,824.3,756.9,28,65.909079268
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,43.49904084
374,189.2,0,170.1,10.1,926.1,756.7,56,63.3973182
350,0,0,203,0,974,775,14,22.53207568
382,0,0,186,0,1111,784,7,11.46598588
141.3,212,0,203.5,0,971.8,748.5,90,39.6621069
,,,,8.72350000148543,887.756905407695,695.309846619117,18.7433503756537,30.6295657313044
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200088
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.096147
480,0,0,192,0,936.2,712.2,7,34.569637164
229.97,0,118.31,195.47,4.63,1029.4,758.59,3,10.0318758
136,196,98,199,6,847,783,28,26.96540636
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100,37.6798634
500,0,0,200,0,1125,613,90,47.22221124
237.5,237.5,0,228,0,932,594,180,36.251958604
304,76,0,228,0,932,670,365,55.260122448
329.359320886258,,53.1019409032295,178.806908403547,5.02458604164024,891.477455445567,785.161068962603,28,42.7094696617248
389.9,189,0,145.9,22,944.7,755.8,28,74.4978818
139.6,209.4,0,192,0,1047,806.9,7,14.58931216
305,0,100,196,10,959,705,28,30.12320644
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448
255,99,77,189,6,919,749,28,33.79811352
397,0,0,185.7,0,1040.6,734.3,7,25.447869684
160,128,122,182,6.4,824,879,28,39.39665864
332.5,142.5,0,228,0,932,594,365,41.052779992
277.05,0,97.39,160.6,11.83,973.9,875.61,56,51.03501352
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
,,,163.560292831826,8.72782890233131,989.080678342092,757.907532777562,80.7844348737761,55.7089993543697
166.8,250.2,0,203.5,0,975.6,692.6,28,33.947729812
184,86,190,213,6,923,623,28,22.93197176
540,0,0,173,0,1125,613,270,74.16693332
424,22,132,178,8.48,822,750,28,62.05284
304,76,0,228,0,932,670,180,50.94882902
190,190,0,228,0,932,670,270,50.655112244
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,41.20308576
213.5,0,174.24,154.61,11.66,1052.3,775.48,56,51.4349096
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
469,117.2,0,137.8,32.2,852.1,840.5,91,70.69886904
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91369566
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,60.32225524
381.74757085401,,,,0,941.480889638902,760.810192149413,90,48.4710218573244
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.051670812
359,19,141,154,10.91,942,801,56,68.750606854188
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
238.05,0,94.11,186.66,7,949.91,847.01,3,19.93275116
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
165,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.08795324
424,22,132,168,8.92,822,750,7,40.2850977152707
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
139.6,209.4,0,192,0,1047,806.9,360,44.698039604
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.39807748
332.5,142.5,0,228,0,932,594,7,30.275580636
339,0,0,185,0,1069,754,28,31.84000168
427.5,47.5,0,228,0,932,594,270,43.01296026
246.83,0,125.08,143.3,11.99,1086.8,800.89,28,52.5035974
284,15,141,179,5.46,842,801,56,44.5204502847293
194.68,0,100.52,170.17,7.48,998,901.8,14,24.28334472
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.691094808
313,145,0,127,8,1000,822,28,44.51946532
116,173,0,192,0,909.8,891.9,7,10.089791784
222.36,0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
249.1,0,98.75,158.11,12.8,987.76,889.01,3,15.36152528
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.7182342
165,0.02,143.57,163.81,0,1005.6,900.9,56,36.56291228
290.35,0,96.18,168.08,9.41,961.18,865,3,22.50449664
302.549714399496,179.975685747925,,193.547029070824,6.31302727507712,916.511270336653,747.662061733143,34.8683186016918,45.2434438617178
,,,,10.9998651360908,980.472995565,723.596160361916,23.4223080269904,42.546767935745
252,97,76,194,8,835,821,28,33.39821744
322,0,116,196,10,818,813,28,31.17810472
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404
288.4,121,0,177.4,7,907.9,829.5,28,42.140083644
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748
332.5,142.5,0,228,0,932,594,270,40.269535256
387,20,94,157,14.32,938,845,56,56.33708396
349,0,0,192,0,1056,809,7,9.01145132
252,0,0,185,0,1111,784,28,19.69143456
313,145,0,178,8,867,824,28,44.38846488
,,,,6.27657700375526,992.014216458003,748.227889703617,4.83566310215336,30.1449308095953
251.81,0,99.94,146.14,12.35,1006,899.76,100,45.3675208
202,11,141,206,1.72,942,801,3,9.84965714581204
142,167,130,174,11,883,785,28,44.6090972
289,134,0,195,6,924,760,28,46.24315532
540,0,0,173,0,1125,613,28,67.30664712
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.94094492
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.93015316
298.1,0,107,186.4,6.1,879,815.2,28,42.6440906
200,0,0,180,0,1125,845,28,12.24509376
350,0,0,186,0,1050,770,28,34.29453624
300,0,120,212,10,878,728,28,23.83518532
252.5,0,0,185.7,0,1111.6,784.3,28,19.765208492
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,51.95891136
318,0,126,210,6,861,737,28,40.0585556
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.71837416
277.05,0,97.39,160.6,11.83,973.9,875.61,100,55.6407132
238,0,0,186,0,1119,789,7,12.05204048
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,47.13257936
249.1,0,98.75,158.11,12.8,987.76,889.01,100,51.0556978
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
134.7,0,165.7,180.2,10,961,804.9,28,13.293786756
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,33.70158688
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
236,0,0,194,0,968,885,3,6.46728488
198.6,132.4,0,192,0,978.4,825.5,7,14.638264956
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976
375,93.8,0,126.6,23.4,852.1,992.6,28,56.69561148
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.236210524
380,0,0,228,0,932,670,270,53.300631656
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.349864196
427.5,47.5,0,228,0,932,594,90,41.542997428
339,0,0,197,0,968,781,90,35.17017076
355,19,97,145,13.13,967,871,28,44.02993736
297,0,0,186,0,1040,734,7,30.9574724
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
,,141.951013269152,,14.5706662621925,1058.14762993801,707.406193373273,28,26.1498138888034
450.1,50,0,200,3,1124.4,613.2,28,39.37597436
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,15.81657944
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3,23.07676172
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328
252.31,0,98.75,146.25,14.17,987.76,889.01,100,60.9496784
296,0,0,186,0,1090,769,28,25.17966352
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.00521612
238,0,0,186,0,1119,789,28,17.54026944
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
387,20,94,157,11.61,938,845,3,34.77027468
141.3,212,0,203.5,0,971.8,748.5,7,10.3938507
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.50971276
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,27.42046052
296,0,106.7,221.4,10.5,819.2,778.4,28,31.420110796
304,76,0,228,0,932,670,270,54.378282644
250,0,95.69,191.84,5.33,948.9,857.2,14,24.65566176
337.9,189,0,174.9,9.5,944.7,755.8,3,24.0971862
183.9,122.6,0,203.5,0,959.2,800,28,24.046164976
212,0,124.78,159,7.84,1085.4,799.54,14,31.35047372
281,0,0,185,0,1104,774,28,22.43554904
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.446370892
405,0,0,175,0,1120,695,28,52.30364936
249.1,0,98.75,158.11,12.8,987.76,889.01,28,30.84715624
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
284,15,141,179,5.46,842,801,28,43.73346268
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.99702236
148,0,182,181,15,839,884,28,15.52010476
144,136,106,178,7,941,774,28,26.14492992
491,26,123,201,3.93,822,699,56,61.855846854188
153,145,113,178,8,867,824,28,26.22766704
525,0,0,189,0,1125,613,14,48.4012152
290.2,193.5,0,185.7,0,998.2,704.3,28,33.0431373
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
108.3,162.4,0,203.5,0,938.2,849,3,2.331807832
359,19,141,154,10.91,942,801,3,25.1166257152707
333,0,0,192,0,931.2,842.6,3,15.615941924
147,115,89,202,9,860,829,28,19.98790924
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
146,173,0,182,3,986,817,28,23.73865868
355.9,0,141.6,193.3,11,801.4,778.4,28,40.8686899
326,166,0,174,9,882,790,28,61.23236356
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
300,0,0,184,0,1075,795,28,26.84819544
277,0,0,191,0,968,856,90,31.25394708
475,0,0,228,0,932,594,7,38.60376124
425,106.3,0,151.4,18.6,936,803.7,91,66.69990824
238.05,0,94.11,186.66,7,949.91,847.01,100,44.298833
446,24,79,162,11.61,967,712,7,52.00717468
213.74,0,174.74,154.79,10.16,1053.5,776.35,3,17.57474324
522,0,0,146,0,896,896,28,74.98740976
331,0,0,192,0,1025,821,28,31.74347504
220.8,147.2,0,185.7,0,1055,744.3,7,13.089012384
475,0,59,142,1.9,1098,641,28,57.226508
158.4,0,194.9,219.7,11,897.7,712.9,28,8.536402356
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.765208492
342,38,0,228,0,932,670,270,55.064311264
312.7,0,0,178.1,8,999.7,822.2,28,25.10382116
151.6,0,111.9,184.4,7.9,992,815.9,28,12.180972492
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.95839176
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
350,0,0,203,0,974,775,180,32.72253096
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,61.99078716
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923024
213.76,98.06,24.52,181.74,6.65,1066,785.52,14,17.83674412
500,0,0,151,9,1033,655,28,69.83702404
298,0,107,164,13,953,784,28,35.85964676
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667
350,0,0,203,0,974,775,7,18.12632404
349,0,0,192,0,1047,806,90,39.48629052
322.2,0,115.6,196,10.4,817.9,813.4,28,31.178794196
250,0,95.69,187.42,5.53,956.86,861.17,3,13.81709904
149,236,0,176,13,847,893,28,32.9569528
251.37,0,118.27,192.94,5.75,1043.6,754.3,56,39.2656582
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.79941252
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.79577532
475,0,0,228,0,932,594,270,42.131120456
480,0,0,192,0,936,721,28,43.89204216
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.33446584
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,12.47262084
190.34,0,125.18,166.61,9.88,1079,798.9,14,19.41564416
310,0,0,192,0,970,850,180,37.32823064
331,0,0,192,0,978,825,3,13.52062436
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.29609504
277,0,0,191,0,968,856,180,32.32952964
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.09966436
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.287661424
446,24,79,162,11.64,967,712,56,56.14403068
271.310849320708,,,,1.35091436275041,981.268995125974,760.658081509929,41.3042497148108,29.8672877922274
316.1,210.7,0,185.7,0,977,689.3,7,24.437787344
,,,,2.19270968978032,920.159367675186,623.382309843056,11.6046903485387,32.6115295448219
252,0,0,185,0,1111,784,28,19.69143456
310,143,111,168,22,914,651,28,33.68779736
266,114,0,228,0,932,670,90,47.029847436
295.71,0,95.64,171.54,8.87,955.14,859.2,14,35.2322236
322,0,0,203,0,974,800,180,29.58541516
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.39821744
375,93.8,0,126.6,23.4,852.1,992.6,7,45.69846928
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,30.44726016
254,0,0,198,0,968,863,365,29.7853632
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.073134492
339,0,0,197,0,968,781,28,32.03994972
